,@line,@trainHeadStation,@origTime,@destTime,@trainIdx,@bikeflag,@trainId,@load
0,ROUTE 2,ANTC,8:09 AM,9:17 AM,1,1,3710806,0
1,ROUTE 1,SFIA,8:29 AM,9:02 AM,1,1,3610758,0
2,ROUTE 2,ANTC,8:29 AM,9:37 AM,2,1,3730807,0
3,ROUTE 2,ANTC,8:48 AM,9:56 AM,3,1,3750817,0
4,ROUTE 1,SFIA,8:49 AM,9:22 AM,2,1,3630757,0
5,ROUTE 2,ANTC,9:08 AM,10:16 AM,4,1,3770837,0
6,ROUTE 1,SFIA,9:09 AM,9:42 AM,3,1,3650817,0
7,ROUTE 2,ANTC,9:28 AM,10:36 AM,5,1,3790857,0
8,ROUTE 1,SFIA,9:29 AM,10:02 AM,4,1,3670837,0
9,ROUTE 2,ANTC,9:48 AM,10:56 AM,6,1,3610917,0
10,ROUTE 1,SFIA,9:49 AM,10:22 AM,5,1,3690857,0
11,ROUTE 2,ANTC,10:08 AM,11:16 AM,7,1,3630937,0
12,ROUTE 1,SFIA,10:09 AM,10:42 AM,6,1,3710917,0
13,ROUTE 5,DALY,10:27 AM,10:45 AM,1,1,1000935,0
14,ROUTE 2,ANTC,10:28 AM,11:36 AM,8,1,3650957,0
15,ROUTE 1,SFIA,10:29 AM,11:02 AM,7,1,3730937,0
16,ROUTE 7,DALY,10:44 AM,11:02 AM,2,1,4011009,0
17,ROUTE 2,ANTC,10:48 AM,11:56 AM,9,1,3671017,0
18,ROUTE 1,SFIA,10:49 AM,11:22 AM,8,1,3750957,0
19,ROUTE 7,DALY,11:07 AM,11:25 AM,1,1,4001032,0
20,ROUTE 2,ANTC,11:08 AM,12:16 PM,10,1,3691037,0
21,ROUTE 1,SFIA,11:09 AM,11:42 AM,9,1,3771017,0
22,ROUTE 5,DALY,11:16 AM,11:34 AM,2,1,1011025,0
23,ROUTE 2,ANTC,11:28 AM,12:36 PM,11,1,3711057,0
24,ROUTE 1,SFIA,11:29 AM,12:02 PM,10,1,3791037,0
25,ROUTE 5,DALY,11:47 AM,12:05 PM,3,1,1021055,0
26,ROUTE 2,ANTC,11:48 AM,12:56 PM,12,1,3731117,0
27,ROUTE 1,SFIA,11:49 AM,12:22 PM,11,1,3611057,0
28,ROUTE 7,DALY,12:04 PM,12:22 PM,4,1,4031129,0
29,ROUTE 2,ANTC,12:08 PM,1:16 PM,13,1,3751137,0
30,ROUTE 1,SFIA,12:09 PM,12:42 PM,12,1,3631117,0
31,ROUTE 7,DALY,12:27 PM,12:45 PM,3,1,4021152,0
32,ROUTE 2,ANTC,12:28 PM,1:36 PM,14,1,3771157,0
33,ROUTE 1,SFIA,12:29 PM,1:02 PM,13,1,3651137,0
34,ROUTE 5,DALY,12:36 PM,12:54 PM,4,1,1031145,0
35,ROUTE 2,ANTC,12:48 PM,1:56 PM,15,1,3791217,0
36,ROUTE 1,SFIA,12:49 PM,1:22 PM,14,1,3671157,0
37,ROUTE 2,ANTC,1:08 PM,2:16 PM,16,1,3611237,0
38,ROUTE 1,SFIA,1:09 PM,1:42 PM,15,1,3691217,0
39,ROUTE 2,ANTC,1:28 PM,2:36 PM,17,1,3631257,0
40,ROUTE 1,SFIA,1:29 PM,2:02 PM,16,1,3711237,0
41,ROUTE 2,ANTC,1:48 PM,2:56 PM,18,1,3651317,0
42,ROUTE 1,SFIA,1:49 PM,2:22 PM,17,1,3731257,0
43,ROUTE 2,ANTC,2:08 PM,3:16 PM,19,1,3671337,0
44,ROUTE 1,SFIA,2:09 PM,2:42 PM,18,1,3751317,0
45,ROUTE 2,ANTC,2:28 PM,3:36 PM,20,1,3691357,0
46,ROUTE 1,SFIA,2:29 PM,3:02 PM,19,1,3771337,0
47,ROUTE 2,ANTC,2:48 PM,3:56 PM,21,1,3711417,0
48,ROUTE 1,SFIA,2:49 PM,3:22 PM,20,1,3791357,0
49,ROUTE 2,ANTC,3:08 PM,4:16 PM,22,1,3731437,0
50,ROUTE 1,SFIA,3:09 PM,3:42 PM,21,1,3611417,0
51,ROUTE 2,ANTC,3:28 PM,4:36 PM,23,1,3751457,0
52,ROUTE 1,SFIA,3:29 PM,4:02 PM,22,1,3631437,0
53,ROUTE 2,ANTC,3:48 PM,4:56 PM,24,1,3771517,0
54,ROUTE 1,SFIA,3:49 PM,4:22 PM,23,1,3651457,0
55,ROUTE 2,ANTC,4:08 PM,5:16 PM,25,1,3791537,0
56,ROUTE 1,SFIA,4:09 PM,4:42 PM,24,1,3671517,0
57,ROUTE 2,ANTC,4:28 PM,5:36 PM,26,1,3611557,0
58,ROUTE 1,SFIA,4:29 PM,5:02 PM,25,1,3691537,0
59,ROUTE 6,WARM,4:46 PM,5:38 PM,1,1,1001628,0
60,ROUTE 2,ANTC,4:48 PM,5:56 PM,27,1,3631617,0
61,ROUTE 1,SFIA,4:49 PM,5:22 PM,26,1,3711557,0
62,ROUTE 8,RICH,5:04 PM,5:38 PM,1,1,4011646,0
63,ROUTE 2,ANTC,5:08 PM,6:16 PM,28,1,3651637,0
64,ROUTE 1,SFIA,5:09 PM,5:42 PM,27,1,3731617,0
65,ROUTE 8,RICH,5:26 PM,6:00 PM,2,1,4001708,0
66,ROUTE 2,ANTC,5:28 PM,6:36 PM,29,1,3671657,0
67,ROUTE 1,SFIA,5:29 PM,6:02 PM,28,1,3751637,0
68,ROUTE 6,WARM,5:44 PM,6:36 PM,2,1,1011726,0
69,ROUTE 2,ANTC,5:48 PM,6:56 PM,30,1,3691717,0
70,ROUTE 1,SFIA,5:49 PM,6:22 PM,29,1,3771657,0
71,ROUTE 8,RICH,5:58 PM,6:32 PM,3,1,4031740,0
72,ROUTE 6,WARM,6:06 PM,6:59 PM,3,1,1021748,0
73,ROUTE 2,ANTC,6:08 PM,7:16 PM,31,1,3711737,0
74,ROUTE 1,SFIA,6:09 PM,6:42 PM,30,1,3791717,0
75,ROUTE 2,ANTC,6:28 PM,7:36 PM,32,1,3731757,0
76,ROUTE 1,SFIA,6:29 PM,7:02 PM,31,1,3611737,0
77,ROUTE 6,WARM,6:32 PM,7:24 PM,4,1,1031814,0
78,ROUTE 8,RICH,6:44 PM,7:18 PM,4,1,4021826,0
79,ROUTE 2,ANTC,6:48 PM,7:56 PM,33,1,3751817,0
80,ROUTE 1,SFIA,6:49 PM,7:22 PM,32,1,3631757,0
81,ROUTE 2,ANTC,7:08 PM,8:16 PM,34,1,3771837,0
82,ROUTE 1,SFIA,7:09 PM,7:42 PM,33,1,3651817,0
83,ROUTE 2,ANTC,7:28 PM,8:36 PM,35,1,3791857,0
84,ROUTE 1,SFIA,7:29 PM,8:02 PM,34,1,3671837,0
85,ROUTE 1,SFIA,7:49 PM,8:22 PM,35,1,3691857,0
86,ROUTE 2,ANTC,7:53 PM,9:01 PM,36,1,3611922,0
87,ROUTE 1,SFIA,8:10 PM,8:43 PM,36,1,3711918,0
88,ROUTE 2,ANTC,8:13 PM,9:21 PM,37,1,3631942,0
89,ROUTE 1,SFIA,8:30 PM,9:03 PM,37,1,3731938,0
90,ROUTE 2,ANTC,8:33 PM,9:41 PM,38,1,3652002,0
91,ROUTE 1,SFIA,8:50 PM,9:23 PM,38,1,3751958,0
92,ROUTE 2,ANTC,8:53 PM,10:01 PM,39,1,3672022,0
93,ROUTE 1,SFIA,9:11 PM,9:44 PM,39,1,3772019,0
94,ROUTE 2,ANTC,9:13 PM,10:21 PM,40,1,3692042,0
95,ROUTE 1,SFIA,9:31 PM,10:04 PM,40,1,3792039,0
96,ROUTE 2,ANTC,9:33 PM,10:41 PM,41,1,3712102,0
97,ROUTE 1,SFIA,9:51 PM,10:24 PM,41,1,3612059,0
98,ROUTE 2,ANTC,9:53 PM,11:01 PM,42,1,3732122,0
99,ROUTE 1,SFIA,10:11 PM,10:44 PM,42,1,3632119,0
100,ROUTE 2,ANTC,10:13 PM,11:21 PM,43,1,3752142,0
101,ROUTE 1,SFIA,10:31 PM,11:04 PM,43,1,3652139,0
102,ROUTE 2,ANTC,10:33 PM,11:41 PM,44,1,3772202,0
103,ROUTE 1,SFIA,10:51 PM,11:24 PM,44,1,3672159,0
104,ROUTE 2,ANTC,10:53 PM,12:01 AM,45,1,3792222,0
105,ROUTE 1,SFIA,11:11 PM,11:44 PM,45,1,3692219,0
106,ROUTE 2,ANTC,11:13 PM,12:21 AM,46,1,3612242,0
107,ROUTE 1,SFIA,11:31 PM,12:04 AM,46,1,3712239,0
108,ROUTE 2,ANTC,11:33 PM,12:41 AM,47,1,3632302,0
109,ROUTE 1,SFIA,11:51 PM,12:24 AM,47,1,3732259,0
110,ROUTE 2,ANTC,11:53 PM,1:01 AM,48,1,3652322,0
111,ROUTE 1,SFIA,12:11 AM,12:44 AM,48,1,3752319,0
112,ROUTE 2,ANTC,12:13 AM,1:21 AM,49,1,3672342,0
113,ROUTE 2,ANTC,12:27 AM,1:37 AM,50,1,3692356,0
114,ROUTE 1,SFIA,12:31 AM,1:04 AM,49,1,3772339,0
115,ROUTE 1,SFIA,1:03 AM,1:36 AM,50,1,3790001,0
