,time,length
0,2019-08-30 17:36:31-07:00,9
1,2019-08-30 17:49:31-07:00,9
2,2019-08-30 18:04:31-07:00,9
3,2019-08-30 17:24:31-07:00,0
4,2019-08-30 17:37:31-07:00,10
5,2019-08-30 17:45:31-07:00,10
6,2019-08-30 17:23:31-07:00,10
7,2019-08-30 17:30:31-07:00,8
8,2019-08-30 17:39:31-07:00,9
9,2019-08-30 17:31:31-07:00,10
10,2019-08-30 17:42:31-07:00,10
11,2019-08-30 17:56:31-07:00,10
12,2019-08-30 17:33:31-07:00,10
13,2019-08-30 17:48:31-07:00,8
14,2019-08-30 18:02:31-07:00,9
15,2019-08-30 17:30:31-07:00,7
16,2019-08-30 17:34:31-07:00,10
17,2019-08-30 17:28:31-07:00,9
18,2019-08-30 17:44:31-07:00,10
19,2019-08-30 17:54:31-07:00,9
20,2019-08-30 17:34:31-07:00,9
21,2019-08-30 17:43:31-07:00,10
22,2019-08-30 17:52:31-07:00,10
23,2019-08-30 17:27:31-07:00,10
24,2019-08-30 17:42:31-07:00,10
25,2019-08-30 17:57:31-07:00,9
26,2019-08-30 17:26:31-07:00,10
27,2019-08-30 17:38:31-07:00,10
28,2019-08-30 17:46:31-07:00,10
29,2019-08-30 17:36:46-07:00,9
30,2019-08-30 17:49:46-07:00,9
31,2019-08-30 18:04:46-07:00,9
32,2019-08-30 17:23:46-07:00,0
33,2019-08-30 17:36:46-07:00,10
34,2019-08-30 17:45:46-07:00,10
35,2019-08-30 17:30:46-07:00,8
36,2019-08-30 17:38:46-07:00,9
37,2019-08-30 17:44:46-07:00,8
38,2019-08-30 17:31:46-07:00,10
39,2019-08-30 17:42:46-07:00,10
40,2019-08-30 17:55:46-07:00,10
41,2019-08-30 17:34:46-07:00,10
42,2019-08-30 17:48:46-07:00,8
43,2019-08-30 18:02:46-07:00,9
44,2019-08-30 17:29:46-07:00,7
45,2019-08-30 17:33:46-07:00,10
46,2019-08-30 17:27:46-07:00,9
47,2019-08-30 17:44:46-07:00,10
48,2019-08-30 17:54:46-07:00,9
49,2019-08-30 17:34:46-07:00,9
50,2019-08-30 17:43:46-07:00,10
51,2019-08-30 17:52:46-07:00,10
52,2019-08-30 17:27:46-07:00,10
53,2019-08-30 17:42:46-07:00,10
54,2019-08-30 17:56:46-07:00,9
55,2019-08-30 17:25:46-07:00,10
56,2019-08-30 17:38:46-07:00,10
57,2019-08-30 17:46:46-07:00,10
58,2019-08-30 23:05:31-07:00,10
59,2019-08-30 23:29:31-07:00,10
60,2019-08-30 23:53:31-07:00,10
61,2019-08-30 23:05:31-07:00,8
62,2019-08-30 23:31:31-07:00,10
63,2019-08-31 00:17:31-07:00,9
64,2019-08-30 23:12:31-07:00,9
65,2019-08-30 23:36:31-07:00,9
66,2019-08-30 23:18:31-07:00,10
67,2019-08-30 23:10:31-07:00,10
68,2019-08-30 23:34:31-07:00,10
69,2019-08-30 23:58:31-07:00,10
70,2019-08-30 17:36:46-07:00,9
71,2019-08-30 17:49:46-07:00,9
72,2019-08-30 18:07:46-07:00,10
73,2019-08-30 17:37:46-07:00,10
74,2019-08-30 17:46:46-07:00,10
75,2019-08-30 17:58:46-07:00,10
76,2019-08-30 17:39:46-07:00,9
77,2019-08-30 17:44:46-07:00,8
78,2019-08-30 17:52:46-07:00,10
